"director","type","title_produced"
"Hazem Fouda","Movie","2"
"Wayne Blair","Movie","2"
"Andy Fickman","Movie","2"
"Damien O’Connor","Movie","2"
"Alex Merkin","Movie","2"
"Michael Damian","Movie","2"
"Eduardo Chauvet","Movie","2"
"Brian Robbins","Movie","2"
"Baljit Singh Deo","Movie","2"
"Rizal Mantovani","Movie","2"
"Eric Radomski","Movie","2"
"Jayson Thiessen","Movie","2"
"Cal Seville","Movie","2"
"M. Night Shyamalan","Movie","2"
"Sam Dunn","Movie","2"
"Kenny Young","Movie","2"
"Abba T. Makama","Movie","2"
"James Mangold","Movie","2"
"A.R. Murugadoss","Movie","2"
"Bert Marcus","Movie","2"
"Michael D. Black","Movie","2"
"Claire Scanlon","Movie","2"
"Michael Cuesta","Movie","2"
"Todd Kauffman","Movie","2"
"Tom McGrath","Movie","2"
"Thomas Sieben","Movie","2"
"Sudesh Manjrekar","Movie","2"
"Asif Kapadia","Movie","2"
"Sangeeth Sivan","Movie","2"
"Taika Waititi","Movie","2"
"Anurin Nwunembom","Movie","2"
"Steven Brill","Movie","2"
"Joe Dante","Movie","2"
"Rhys Thomas","Movie","2"
"A. L. Vijay","Movie","2"
"Hsu Chih-yen","Movie","2"
"Justin Benson","Movie","2"
"Kristian Mercado","Movie","2"
"Ridley Scott","Movie","2"
"Keoni Waxman","Movie","2"
"Zak Hilditch","Movie","2"
"Tony Giglio","Movie","2"
"Mahsun Kırmızıgül","Movie","2"
"Mukul Anand","Movie","2"
"Ifa Isfansyah","Movie","2"
"Paul Haggis","Movie","2"
"Anthony Scott Burns","Movie","2"
"Ashwiny Iyer Tiwari","Movie","2"
"Funke Akindele","Movie","2"
"Rusty Cundieff","Movie","2"
"Tsuyoshi Nakakuki","Movie","2"
"Reema Kagti","Movie","2"
"James Wong","Movie","2"
"Daniel Stamm","Movie","2"
"Brian Klein","Movie","2"
"Jalil Lespert","Movie","2"
"Walter Taylaur","Movie","2"
"N. Linguswamy","Movie","2"
"Jeff Wadlow","Movie","2"
"Ben Wheatley","Movie","2"
"Dave Higby","Movie","2"
"Alex Zamm","Movie","2"
"Patricia Rozema","Movie","2"
"J.A. Bayona","Movie","2"
"Shakun Batra","Movie","2"
"Jehane Noujaim","Movie","2"
"Brian De Palma","Movie","2"
"Mark Palansky","Movie","2"
"James Yukich","Movie","2"
"Jason Paul Laxamana","Movie","2"
"Clark Johnson","Movie","2"
"Jeff Orlowski","Movie","2"
"John Stockwell","Movie","2"
"Ahishor Solomon","Movie","2"
"Alejandro Fernández Almendras","Movie","2"
