"casts","titles_they_acted","ranking"
"mark ruffalo","7","797"
"katt williams","7","797"
"joju george","7","797"
"paul reubens","7","797"
"bernie mac","7","797"
"eddie izzard","7","797"
"lin shaye","7","797"
"america ferrera","7","797"
"rene naufahu","7","797"
"álvaro cervantes","7","797"
"aziz ansari","7","797"
"mahie gill","7","797"
"akshay oberoi","7","797"
"um sang-hyun","7","797"
"trevor devall","7","797"
"michael kenneth williams","7","797"
"johnathon schaech","7","797"
"rory kinnear","7","797"
"troy baker","7","797"
"saeed jaffrey","7","797"
"rachel mcadams","7","797"
"emily mortimer","7","797"
"james wen","7","797"
"akhilendra mishra","7","797"
"jim sturgess","7","797"
"helen","7","797"
"natalie portman","7","797"
"wataru takagi","7","797"
"james arnold taylor","7","797"
"fatih artman","7","797"
"scott porter","7","797"
"andy serkis","7","797"
"kelly sheridan","7","797"
"laura dern","7","797"
"sora amamiya","7","797"
"kal penn","7","797"
"mark duplass","7","797"
"jacqueline fernandez","7","797"
"lakeith stanfield","7","797"
"catherine keener","7","797"
"colin quinn","7","797"
"maryke hendrikse","7","797"
"sunny leone","7","797"
"retta","7","797"
"smita tambe","7","797"
"benjamin bratt","7","797"
"jim parsons","7","797"
"ini dima-okojie","7","797"
"sarah silverman","7","797"
"toni tones","7","797"
"riccardo scamarcio","7","797"
"donald faison","7","797"
"dakore akande","7","797"
"maxi iglesias","7","797"
"kiana madeira","7","797"
"dibyendu bhattacharya","7","797"
"ata demirer","7","797"
"kehinde bankole","7","797"
"jamie foxx","7","797"
"jamie bell","7","797"
"ranbir kapoor","7","797"
"john turturro","7","797"
"sterling k. brown","7","797"
"jason mantzoukas","7","797"
"chinatsu akasaki","7","797"
"bobby moynihan","7","797"
"matt walsh","7","797"
"noriko hidaka","7","797"
"todd haberkorn","7","797"
"cliff curtis","7","797"
"bella thorne","7","797"
"logan marshall-green","7","797"
"sudhi koppa","7","797"
"nick kroll","7","797"
"mohan joshi","7","797"
"eva mendes","7","797"
"molly ringwald","7","797"
"mary steenburgen","7","797"
"diane keaton","7","797"
"maurice lamarche","7","797"
"merritt wever","7","797"
"kemi lala akindoju","7","797"
"diego luna","7","797"
"aislinn derbez","7","797"
"christian bale","7","797"
"alicia vikander","7","797"
"annabeth gish","7","797"
"chandan roy sanyal","7","797"
"matthias schoenaerts","7","797"
"blanca suárez","7","797"
"sarah shahi","7","797"
"benjamin flores jr.","7","797"
"rob lowe","7","797"
"dale dickey","7","797"
"paoli dam","7","797"
"ashton kutcher","7","797"
"donald sutherland","7","797"
"james caan","7","797"
"billy burke","7","797"
"charlie sheen","7","797"
"peter mullan","7","797"
"rajat kapoor","7","797"
"neil nitin mukesh","7","797"
"natasha leggero","7","797"
"shernaz patel","7","797"
"bradley whitford","7","797"
"vince vaughn","7","797"
"jeffrey tambor","7","797"
"ashley judd","7","797"
"ahmed rateb","7","797"
"randall park","7","797"
"eric bauza","7","797"
"daniel brühl","7","797"
"martin freeman","7","797"
"ayako kawasumi","7","797"
"mike birbiglia","7","797"
"louis c.k.","7","797"
"tantoo cardinal","7","797"
"kevin bacon","7","797"
"akshaye khanna","7","797"
"derek mcgrath","7","797"
"michael keaton","7","797"
"doug jones","7","797"
"teresa palmer","7","797"
"rose byrne","7","797"
"sonu sood","7","797"
"jorge diaz","7","797"
"darshan jariwala","7","797"
"joel courtney","7","797"
"kevin pollak","7","797"
"michael ironside","7","797"
"büşra pekin","7","797"
"zac efron","7","797"
"shuichi ikeda","7","797"
"tapsee pannu","7","797"
"noriaki sugiyama","7","797"
"sawsan badr","7","797"
"henley hii","7","797"
"stephen campbell moore","7","797"
"sharon ooja","7","797"
"alia bhatt","7","797"
"harby sangha","7","797"
"erika fong","7","797"
"ryota osaka","7","797"
"jeff daniels","7","797"
"youssef eid","7","797"
"nana mizuki","7","797"
"tom wilkinson","7","797"
"johnny knoxville","7","797"
"chris evans","7","797"
"omari hardwick","7","797"
"dave chappelle","7","797"
"josh charles","7","797"
"hugo silva","7","797"
"kaori nazuka","7","797"
"odunlade adekola","7","797"
"cuba gooding jr.","7","797"
"david tennant","7","797"
"jason sudeikis","7","797"
"whoopi goldberg","7","797"
"karra elejalde","7","797"
"damandeep singh baggan","7","797"
"ernesto alterio","7","797"
"christopher walken","7","797"
"anamaya verma","7","797"
"joe don baker","7","797"
"elizabeth reaser","7","797"
"zhang zhenhuan","7","797"
"shea whigham","7","797"
"bill pullman","7","797"
"haley bennett","7","797"
"robert downey jr.","7","797"
"olga kurylenko","7","797"
"david thewlis","7","797"
"ryan phillippe","7","797"
"satomi sato","7","797"
"wally wingert","7","797"
"lili taylor","7","797"
"andrea riseborough","7","797"
"ricardo quevedo","7","797"
"daryl sabara","7","797"
"kenji nojima","7","797"
"brie larson","7","797"
"brittany anne pirtle","7","797"
"bill smitrovich","7","797"
"josé coronado","7","797"
"tim roth","7","797"
"imanol arias","7","797"
"deepti naval","7","797"
"daniel craig","7","797"
"noah centineo","7","797"
"sonali bendre","7","797"
"suhasini mulay","7","797"
"nicole byer","7","797"
"emilio gutiérrez caba","7","797"
"giovanni ribisi","7","797"
"candi milo","7","797"
"angelina jolie","7","797"
"adrian petriw","7","797"
"fred willard","7","797"
"jude law","7","797"
"kenyu horiuchi","7","797"
"marlon wayans","7","797"
"angela bassett","7","797"
"najee de-tiege","7","797"
"clive owen","7","797"
"hirotaka suzuoki","7","797"
"taraji p. henson","7","797"
"dayci brookshire","7","797"
"hisako kanemoto","7","797"
"tom sizemore","7","797"
"jonathan pryce","7","797"
"lochlyn munro","7","797"
"wilmer valderrama","7","797"
"elise neal","7","797"
"john lloyd cruz","7","797"
"chiwetel ejiofor","7","797"
"yuki ono","7","797"
"gigi saul guerrero","7","797"
"anna faris","7","797"
"molly parker","7","797"
"jerry seinfeld","7","797"
"rajesh kawa","7","797"
"lily collins","7","797"
"hector david jr.","7","797"
"sanjay kapoor","7","797"
"shammi kapoor","7","797"
"kanwaljeet singh","7","797"
"avtar gill","7","797"
"christina ricci","7","797"
"sigourney weaver","7","797"
"belén cuesta","7","797"
"bryce dallas howard","7","797"
"billy zane","7","797"
"ethan hawke","7","797"
"alain hernández","7","797"
"lee tockar","7","797"
"robbie daymond","7","797"
"channing tatum","7","797"
"patrick stewart","7","797"
"james purefoy","7","797"
"kate berlant","7","797"
"henry thomas","7","797"
"kazumi evans","7","797"
"marcia gay harden","7","797"
"funke akindele","7","797"
"ahmed fathy","7","797"
"matthew goode","7","797"
"burt young","7","797"
"showtaro morikubo","7","797"
"ron livingston","7","797"
"rhys darby","7","797"
"tarık ünlüoğlu","6","1062"
"jason ritter","6","1062"
"amrita singh","6","1062"
"cole hauser","6","1062"
"simon greenall","6","1062"
"travis turner","6","1062"
"tom green","6","1062"
"yograj singh","6","1062"
"max martini","6","1062"
"ravi kishan","6","1062"
"yvette nicole brown","6","1062"
